gene,cluster_id,logFC,logCPM,F,p_adj_val,p_adj.loc,p_adj.glb,contrast
LINC01128,Ast,0.761175081391787,3.31459959652049,8.52233308618719,0.00452456308857558,0.999832779694255,0.986756069146708,Low_vs_Not_AD
SAMD11,Ast,-0.851079824786486,3.18669070338775,4.23838170885058,0.0426866257504212,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AL139246.5,Ast,1.2414159588846,1.44304812990524,8.76980834602398,0.00397987499820212,0.999832779694255,0.986756069146708,Low_vs_Not_AD
ERRFI1,Ast,0.622612971800191,5.34289123616924,7.62439136047023,0.00709531107705128,0.999832779694255,0.999965408587589,Low_vs_Not_AD
SLC2A5,Ast,-1.42722314200252,1.29240508588322,13.077922991829,0.000498047869212935,0.971080169149159,0.633559855211535,Low_vs_Not_AD
PDPN,Ast,1.27883035340249,2.77934173136441,7.75968030134746,0.00663103705131959,0.999832779694255,0.999965408587589,Low_vs_Not_AD
FHAD1,Ast,0.799032952889469,1.9781689828535,5.85560942315426,0.0177200827108487,0.999832779694255,0.999965408587589,Low_vs_Not_AD
C1QB,Ast,1.27768936380317,0.157188451866648,6.45334320729106,0.0125891791195538,0.999832779694255,0.999965408587589,Low_vs_Not_AD
GPR3,Ast,1.16911862570652,0.460043584526045,4.07850685553635,0.046261810044446,0.999832779694255,0.999965408587589,Low_vs_Not_AD
SPOCD1,Ast,1.95352374807643,1.68971368195998,6.59639389522302,0.0119147733550803,0.999832779694255,0.999965408587589,Low_vs_Not_AD
ZC3H12A,Ast,0.878224654220945,0.428935875313725,4.11242405608633,0.0453561763938941,0.999832779694255,0.999965408587589,Low_vs_Not_AD
MANEAL,Ast,0.521519678131919,0.618976819461873,4.36239865435555,0.0395272024259857,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AC093151.8,Ast,-2.74543713876565,2.11806389455532,7.58278119409788,0.00720804864818725,0.999832779694255,0.999965408587589,Low_vs_Not_AD
FOXO6,Ast,-0.616420825746444,0.973095896844021,4.0230560533002,0.0479624357485207,0.999832779694255,0.999965408587589,Low_vs_Not_AD
SLC2A1,Ast,0.801758096517244,4.36298050552925,6.36692101977076,0.0135473071789649,0.999832779694255,0.999965408587589,Low_vs_Not_AD
TOE1,Ast,-0.58827512329186,1.61810666891178,5.91264462840958,0.0171752411221411,0.999832779694255,0.999965408587589,Low_vs_Not_AD
CCDC163,Ast,0.854559554644687,1.9808396738109,4.25047020392844,0.042387608773702,0.999832779694255,0.999965408587589,Low_vs_Not_AD
EFCAB14-AS1,Ast,-0.989232733764854,0.522960769533094,5.79043613900623,0.0180603946863194,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AL445685.1,Ast,-0.875951653074369,-0.32522438788035,6.04061645959272,0.0154495290610872,0.999832779694255,0.999965408587589,Low_vs_Not_AD
DHCR24,Ast,-0.795241226446192,2.96073437735963,4.10500916752205,0.0460008618172775,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AC096536.3,Ast,-1.27728667324334,-0.032756202659633,4.18898407710277,0.0430611548301015,0.999832779694255,0.999965408587589,Low_vs_Not_AD
MIR4422HG,Ast,0.54404693989394,0.525072149023294,5.55923072000862,0.0204845990989479,0.999832779694255,0.999965408587589,Low_vs_Not_AD
UBE2U,Ast,0.881874167425128,0.00149281773565596,6.8323536811099,0.0102852193592276,0.999832779694255,0.999965408587589,Low_vs_Not_AD
LINC02567,Ast,0.991117637435827,-0.267626152814662,3.93166081225351,0.0498305038177757,0.999832779694255,0.999965408587589,Low_vs_Not_AD
ABCA4,Ast,0.70445695362886,2.24030407589007,4.08164795349611,0.0466033238896567,0.999832779694255,0.999965408587589,Low_vs_Not_AD
COL11A1,Ast,0.643422920075663,5.67504563305704,6.31361033606183,0.0139283842987374,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AL591888.1,Ast,1.6979291622623,0.499455398875223,7.97044485087133,0.00574249039060671,0.999832779694255,0.999965408587589,Low_vs_Not_AD
INKA2-AS1,Ast,0.908834972244875,-0.0580106559553595,4.35851492667425,0.0391654214994374,0.999832779694255,0.999965408587589,Low_vs_Not_AD
AP4B1-AS1,Ast,-0.852304491491171,1.28964340786583,6.63459062766806,0.0117318453690916,0.999832779694255,0.999965408587589,Low_vs_Not_AD
