GeneIntegrationMatrix_name,MotifMatrix_name,cor,padj,maxDelta,Stage,MotifMatrix_Newname
SPI1,SPI1_322,0.923773799686149,7.39259737013564e-207,24.2052426639547,NotAD,SPI1
SPI1,SPI1_322,0.959934717467983,2.04531540829805e-274,23.722320911985,LowAD,SPI1
SPI1,SPI1_322,0.946574643574244,4.97062221373359e-244,19.7789010269242,InterAD,SPI1
SPI1,SPI1_322,0.938867027499313,6.98879936063816e-230,17.0779388999283,HighAD,SPI1
FOSL2,FOSL2_105,0.546288837378161,2.33459209188214e-37,13.411189121082,NotAD,FOSL2
FOSL2,FOSL2_105,0.526237389216405,4.45395776362816e-34,11.5046432186459,LowAD,FOSL2
IRF1,IRF1_629,0.604875660917373,2.48119032352748e-48,11.2109184888798,NotAD,IRF1
ELF1,ELF1_329,0.724883816717201,9.28692104418742e-80,11.1244631612102,NotAD,ELF1
JUND,JUND_124,0.698171362317476,2.06984969280708e-71,11.1096447311171,HighAD,JUND
IRF1,IRF1_629,0.889236381340639,2.1705045321416e-168,10.9983677073816,LowAD,IRF1
JUN,JUN_143,0.570912811093944,1.05437171371224e-41,10.9600846711157,LowAD,JUN
FOSB,FOSB_121,0.689878021473536,5.29742920501353e-69,10.8733215940749,NotAD,FOSB
ETV6,ETV6_335,0.586552601179369,1.16966970036079e-44,10.8222132043035,NotAD,ETV6
ETV6,ETV6_335,0.795060360110354,2.48472928528422e-107,10.4439719722637,LowAD,ETV6
SOX4,SOX4_754,0.632112213570341,2.96089406558779e-54,10.435370100387,LowAD,SOX4
ELF1,ELF1_329,0.794343606538804,5.37063852479492e-107,10.394072331299,LowAD,ELF1
FOSL2,FOSL2_105,0.512496003705444,5.93469223426966e-32,10.1867550216122,InterAD,FOSL2
ETS2,ETS2_340,0.708458528908699,1.63651232759721e-74,9.72773931158026,NotAD,ETS2
SOX4,SOX4_754,0.634822706466315,7.05935083008813e-55,9.57770522501276,HighAD,SOX4
SOX9-AS1,SOX9_756,0.532326910497919,4.73633507164189e-35,9.54395044957477,LowAD,SOX9
ETS2,ETS2_340,0.813721038141248,1.51201071218419e-116,9.34378166136425,LowAD,ETS2
FOSB,FOSB_121,0.602539494318687,7.5112710177457e-48,9.25062236919544,LowAD,FOSB
IRF1,IRF1_629,0.888163195817527,2.07865389216968e-167,9.08070512210144,InterAD,IRF1
SOX9-AS1,SOX9_756,0.656536341160626,4.2857094093917e-60,9.07847042925047,InterAD,SOX9
SOX13,SOX13_761,0.66110475717905,3.01190677558116e-61,8.9575015446445,InterAD,SOX13
SOX9-AS1,SOX9_756,0.624890901828421,1.25424439239591e-52,8.94393104725047,HighAD,SOX9
FOSB,FOSB_121,0.848198776577418,1.15928500523287e-136,8.8859526498256,HighAD,FOSB
NFIA-AS2,NFIA_742,0.782437731238559,1.26791754338088e-101,8.86392491136693,NotAD,NFIA
STAT2,STAT2_778,0.509287911075303,1.80205020004827e-31,8.78285277571324,InterAD,STAT2
SOX12,SOX12_768,0.531941524112091,5.47263065006522e-35,8.6309663220555,NotAD,SOX12
ETV6,ETV6_335,0.688915854314948,9.92948228180225e-69,8.56184399287222,InterAD,ETV6
NFIA,NFIA_742,0.786527916736193,1.97586319108799e-103,8.54715316002103,LowAD,NFIA
ELF4,ELF4_323,0.74540133628002,7.13219496905199e-87,8.45531565981424,NotAD,ELF4
ELF1,ELF1_329,0.722704308704813,4.83751528580224e-79,8.44772514151397,InterAD,ELF1
NFIB,NFIB_741,0.553066216253074,1.6134725695343e-38,8.3855644740628,LowAD,NFIB
IRF1,IRF1_629,0.85678671646281,1.83425997845189e-142,8.34165872065983,HighAD,IRF1
FOSB,FOSB_121,0.720998362078301,1.74479610773849e-78,8.23323995201791,InterAD,FOSB
ELF4,ELF4_323,0.742296405288635,9.39153076131749e-86,8.14446955908085,LowAD,ELF4
DBX2,DBX2_554,0.544863768720194,4.06206596396874e-37,7.97203406735406,NotAD,DBX2
NEUROD6,NEUROD6_821,0.690922692324943,2.66288763502275e-69,7.89051267201298,NotAD,NEUROD6
SOX4,SOX4_754,0.643671094184178,5.94300360266564e-57,7.80870907035232,InterAD,SOX4
ETV6,ETV6_335,0.704774180010942,2.18582101057983e-73,7.75775124050571,HighAD,ETV6
ETS2,ETS2_340,0.708515003945586,1.56809099161439e-74,7.74945664985085,InterAD,ETS2
IRF3,IRF3_630,0.72900274168889,3.90924854495556e-81,7.70071689810614,NotAD,IRF3
ELF1,ELF1_329,0.703995601916333,3.76274316457119e-73,7.66192772391744,HighAD,ELF1
IRF3,IRF3_630,0.788823106851299,1.83806497918206e-104,7.58475844034621,LowAD,IRF3
NEUROD2,NEUROD2_73,0.851016133373211,1.59494149324544e-138,7.48249854849028,NotAD,NEUROD2
IRF8,IRF8_633,0.80665554507669,6.13211590493215e-113,7.42186594303358,NotAD,IRF8
IRF8,IRF8_633,0.875382205329657,1.95867735325696e-156,7.41379567225318,LowAD,IRF8
MESP2,MESP2_94,0.53340918304275,3.16920420078819e-35,7.35021316106455,NotAD,MESP2
CEBPB,CEBPB_140,0.850523048214359,3.40014377503392e-138,7.28225173523155,NotAD,CEBPB
IRF9,IRF9_636,0.861854041617447,4.58286240478615e-146,7.24015072737394,NotAD,IRF9
SOX13,SOX13_761,0.74524220592197,8.1368329582928e-87,7.23515749494611,LowAD,SOX13
ATOH7,ATOH7_84,0.554319192716072,9.78152560998793e-39,7.16110596646993,LowAD,ATOH7
IRF9,IRF9_636,0.686487340403407,4.83430473463739e-68,7.09224103538229,LowAD,IRF9
CEBPB,CEBPB_140,0.926328842583643,2.10705234227475e-210,7.06427478374296,LowAD,CEBPB
NFIA,NFIA_742,0.767390129173625,2.66454217732656e-95,7.0575924727971,HighAD,NFIA
GSX2,GSX2_546,0.588272209308447,5.40346068973799e-45,7.015441243048,LowAD,GSX2
NFIA,NFIA_742,0.787857856095867,5.0016186231243e-104,7.00784137196855,InterAD,NFIA
