symbol,LS,Correlation,FDR,mLog10pval,TF,Stage,Cell
RALYL,16.1406500636679,0.899136636382431,1.64519753296548e-178,2.60921067716013,ATOH7,High,Ext
MICAL2,35.6845093138204,0.884013607997781,2.06052060989467e-164,2.25926870116105,ATOH7,High,Ext
KCNV1,39.808459375289,0.87313140857787,1.89914115234186e-155,3.95899609961057,ATOH7,High,Ext
DLGAP1-AS4,33.0054225702476,0.857756626760334,4.14742798593688e-144,2.46660040883657,ATOH7,High,Ext
WASF1,32.0443108383203,0.8531030719888,6.1505528028756e-141,2.02034486737052,ATOH7,High,Ext
PDP1,16.646655860288,0.84104153828365,3.38186306442005e-133,2.15732784574623,ATOH7,High,Ext
PAIP1,11.4348974389003,0.830522998596822,5.93104752023136e-127,3.60444191432405,ATOH7,High,Ext
ST7,11.1501648989457,0.829070991391998,3.98845679359417e-126,2.8571030845147,ATOH7,High,Ext
GNB5,24.6778259037242,0.820111348267473,3.47433717280903e-121,2.19390932274681,ATOH7,High,Ext
PRICKLE1,13.254335444806,0.818130959689426,3.93831004631085e-120,2.085757982416,ATOH7,High,Ext
TMEM67,17.3066922824071,0.817741922532148,6.32461267708355e-120,2.87244065473433,ATOH7,High,Ext
MYO5C,32.3657504788986,0.81222983649348,4.61355916549112e-117,2.05339373360643,ATOH7,High,Ext
JAZF1-AS1,23.8310102933272,0.79679055161401,1.58820917845896e-109,2.79343832997366,ATOH7,High,Ext
SYBU,22.9210655488249,0.796755689072452,1.64897109836771e-109,3.14516739335195,ATOH7,High,Ext
LINC02613,10.4867686976205,0.795423136374703,6.86613200047071e-109,2.31657318760418,ATOH7,High,Ext
MDH1,9.50962509894537,0.793803028351533,3.8363030568399e-108,2.10606467380067,ATOH7,High,Ext
CERNA1,27.1207720025874,0.785920892268872,1.33490652130071e-104,2.02034486737052,ATOH7,High,Ext
RFTN1,63.4589712841997,0.785663325513761,1.73198351650829e-104,5.12607022869363,ATOH7,High,Ext
MIS18A,16.6133405223364,0.785362503101304,2.34723648516814e-104,3.60444191432405,ATOH7,High,Ext
SLC17A6,12.1696952344894,0.781129649724995,1.6041599045921e-102,2.50292741275358,ATOH7,High,Ext
DLGAP1-AS3,19.3409282521498,0.765514637696842,4.29669439546013e-96,2.02034486737052,ATOH7,High,Ext
LINC00710,17.4073372788756,0.751654733099227,8.5449921142653e-91,2.8259090951363,ATOH7,High,Ext
PHACTR1,36.344217194498,0.748424076513444,1.30784842988901e-89,4.81039133501906,ATOH7,High,Ext
OLFM3,22.5626605995457,0.738143825315755,5.90959421823656e-86,4.68501375590515,ATOH7,High,Ext
LINC01950,8.83276270959107,0.735209030909144,6.07768608855686e-85,2.27531755022752,ATOH7,High,Ext
CDC40,32.4096953869746,0.715064773934839,2.41201808678774e-78,2.15746446272524,ATOH7,High,Ext
PKIG,26.2782051575249,0.708358804468445,2.83750974679691e-76,2.95605609992068,ATOH7,High,Ext
GTF3C1,20.5783643418989,0.706171819394792,1.30431133471735e-75,2.31657318760418,ATOH7,High,Ext
KCNK1,13.4791140513318,0.701774153862479,2.68526208247101e-74,2.18291597146129,ATOH7,High,Ext
ARPP19,18.5386038510917,0.672686228142341,3.53360143191228e-66,2.23402753343965,ATOH7,High,Ext
ERVMER34-1,10.031489949913,0.666380246449479,1.53822443026486e-64,2.60921067716013,ATOH7,High,Ext
PPIL6,17.0696786777459,0.661448889936316,2.75778385303165e-63,2.60921067716013,ATOH7,High,Ext
LINC01793,14.3989150623705,0.650869722965657,1.12825007125041e-60,3.17270905510476,ATOH7,High,Ext
SHC3,11.9075043349055,0.643676932325814,5.87580798808889e-59,2.085757982416,ATOH7,High,Ext
LINC01618,9.93034177929727,0.605941835128129,1.17207490537482e-50,3.00431617931812,ATOH7,High,Ext
PTK2B,19.8337275174279,0.598647248498306,3.52897881305241e-49,2.13486814680523,ATOH7,High,Ext
DDX19A,9.14833167146725,0.59852987916574,3.72482157603264e-49,2.27531755022752,ATOH7,High,Ext
ZBTB21,14.0708932883238,0.595046731385835,1.83514841672043e-48,2.50292741275358,ATOH7,High,Ext
BCL11A,24.6590530673909,0.571930112741516,4.48644916455355e-44,2.17670014680751,ATOH7,High,Ext
SLC39A8,14.948332298141,0.545393811608755,1.90154786910805e-39,4.69785093104374,ATOH7,High,Ext
AK5,13.7360761331856,0.540939153520585,1.03792422665809e-38,2.15732784574623,ATOH7,High,Ext
ADGRF5,10.7637547833349,0.529160194651685,8.16490754742062e-37,2.49031402514594,ATOH7,High,Ext
PPAT,10.2652300465289,0.525959619037564,2.59608574160348e-36,2.50292741275358,ATOH7,High,Ext
RALYL,20.0051246006384,0.895857050405029,2.84938145842549e-175,2.71216495126673,BHLHE22,High,Ext
SH3GL2,35.1254727746466,0.892282495314645,7.3136142867168e-172,2.82507640597514,BHLHE22,High,Ext
KCNV1,37.0373368673897,0.887310911239823,2.5981576343156e-167,2.26069064055288,BHLHE22,High,Ext
PRKAR2B,19.2797159914108,0.876212318196216,6.76120392805039e-158,2.11743535574153,BHLHE22,High,Ext
GABRB3,24.8783078198195,0.87548851161747,2.57585518283784e-157,2.58825757382188,BHLHE22,High,Ext
MPP4,11.0089011019999,0.868116863358852,1.35682672594225e-151,2.83004653846824,BHLHE22,High,Ext
GABRG2,16.5572926113705,0.865522464831409,1.16155863482806e-149,2.46717649473951,BHLHE22,High,Ext
DLGAP1-AS4,48.8635155977142,0.858649443906473,9.9124356641082e-145,3.40826597961563,BHLHE22,High,Ext
